CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
ROBBERY,2025 Jan 07 08:30:00 PM,25-001342,ATTEMPTED ROBBERY-STRONG-ARM,15X,2300 LAKESHORE AV,Oakland,CA,20
GRAND THEFT,2025 Jan 07 09:00:00 PM,25-908220,GRAND THEFT,"04X",19TH ST & BROADWAY,Oakland,CA,21
GRAND THEFT,2025 Jan 08 12:00:00 AM,25-900321,GRAND THEFT,10X,900 ARLINGTON AV,Oakland,CA,0
PETTY THEFT,2025 Jan 08 12:00:00 AM,25-006685,THEFT,26Y,7200 SAN LEANDRO ST,Oakland,CA,0
PETTY THEFT,2025 Jan 08 12:00:00 AM,25-001315,THEFT,13Z,6600 BANNING DR,Oakland,CA,0
PETTY THEFT,2025 Jan 08 12:00:00 AM,25-003253,THEFT,"05X",2100 WEST ST,Oakland,CA,0
PETTY THEFT,2025 Jan 08 02:00:00 AM,25-001486,THEFT,26Y,1000 73RD AV,Oakland,CA,2
GRAND THEFT,2025 Jan 08 04:10:00 AM,25-900337,GRAND THEFT,20X,1800 28TH AV,Oakland,CA,4
GRAND THEFT,2025 Jan 08 04:15:00 AM,25-902123,GRAND THEFT,18Y,2100 E 28TH ST,Oakland,CA,4
GRAND THEFT,2025 Jan 08 05:00:00 AM,25-900379,GRAND THEFT,25X,3600 VIRDEN AV,Oakland,CA,5
PETTY THEFT,2025 Jan 08 06:30:00 AM,25-001936,THEFT,27Y,2400 66TH AV,Oakland,CA,6
PETTY THEFT,2025 Jan 08 07:00:00 AM,25-001428,PETTY THEFT:$50-,"08X",2700 BROADWAY,Oakland,CA,7
ROBBERY,2025 Jan 08 07:04:00 AM,25-001245,ROBBERY-KNIFE OR CUTTING INSTRUMENT,"03Y",500 9TH ST,Oakland,CA,7
ROBBERY,2025 Jan 08 07:10:00 AM,25-001637,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","03X",800 WEBSTER ST,Oakland,CA,7
PETTY THEFT,2025 Jan 08 07:49:00 AM,25-900980,THEFT,21X,2700 GARDEN ST,Oakland,CA,7
PETTY THEFT,2025 Jan 08 08:00:00 AM,24-001692,VEHICLE THEFT - AUTO,14X,100 MONTECITO AVE,Oakland,CA,8
PETTY THEFT,2025 Jan 08 08:00:00 AM,24-001692,THEFT,14X,100 MONTECITO AVE,Oakland,CA,8
GRAND THEFT,2025 Jan 08 08:40:00 AM,25-902127,GRAND THEFT,31X,400 HEGENBERGER RD,Oakland,CA,8
PETTY THEFT,2025 Jan 08 08:47:00 AM,25-900981,THEFT,"09X",5100 BROADWAY,Oakland,CA,8
GRAND THEFT,2025 Jan 08 09:00:00 AM,25-902125,GRAND THEFT,10X,900 AILEEN ST,Oakland,CA,9
PETTY THEFT,2025 Jan 08 09:25:00 AM,25-900979,THEFT,"03Y",1300 BROADWAY,Oakland,CA,9
GRAND THEFT,2025 Jan 08 10:42:00 AM,25-902839,GRAND THEFT,"03Y",1300 BROADWAY,Oakland,CA,10
GRAND THEFT,2025 Jan 08 11:10:00 AM,25-904765,GRAND THEFT,13Z,5600 ASCOT DR,Oakland,CA,11
PETTY THEFT,2025 Jan 08 02:15:00 PM,25-029812,THEFT,25X,3600 HIGH ST,Oakland,CA,14
PETTY THEFT,2025 Jan 08 02:15:00 PM,25-900339,THEFT,"03Y",1300 BROADWAY,Oakland,CA,14
ROBBERY,2025 Jan 08 02:51:00 PM,25-001322,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3400 INTERNATIONAL BLVD,Oakland,CA,14
PETTY THEFT,2025 Jan 08 03:00:00 PM,25-904944,THEFT,14Y,3600 GRAND AV,Oakland,CA,15
PETTY THEFT,2025 Jan 08 03:00:00 PM,25-001770,THEFT,26X,1300 54TH AV,Oakland,CA,15
PETTY THEFT,2025 Jan 08 03:25:00 PM,25-904779,THEFT,14Y,3700 GRAND AV,Oakland,CA,15
PETTY THEFT,2025 Jan 08 04:10:00 PM,25-900668,THEFT,"08X",3500 TELEGRAPH AV,Oakland,CA,16
ROBBERY,2025 Jan 08 04:30:00 PM,25-001331,ROBBERY-FIREARM,22Y,2900 MACARTHUR BLVD,Oakland,CA,16
ROBBERY,2025 Jan 08 04:30:00 PM,25-001331,CARJACKING WITH FIREARM,22Y,2900 MACARTHUR BLVD,Oakland,CA,16
ROBBERY,2025 Jan 08 04:30:00 PM,25-001331,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,22Y,2900 MACARTHUR BLVD,Oakland,CA,16
GRAND THEFT,2025 Jan 08 05:53:00 PM,25-902852,GRAND THEFT,"08X",2400 BROADWAY,Oakland,CA,17
PETTY THEFT,2025 Jan 08 05:58:00 PM,25-905334,MAIL/ETC THEFT/ETC,"04X",1400 MADISON ST,Oakland,CA,17
GRAND THEFT,2025 Jan 08 06:45:00 PM,25-900377,GRAND THEFT,14X,300 LEE ST,Oakland,CA,18
PETTY THEFT,2025 Jan 08 07:49:00 PM,25-001358,THEFT,26Y,800 71ST AV,Oakland,CA,19
PETTY THEFT,2025 Jan 08 07:55:00 PM,25-001374,THEFT,26Y,6700 LION WY,Oakland,CA,19
PETTY THEFT,2025 Jan 08 10:00:00 PM,25-001491,THEFT,17X,1000 FOOTHILL BLVD,Oakland,CA,22
GRAND THEFT,2025 Jan 08 10:40:00 PM,25-905049,GRAND THEFT,"04X",600 17TH ST,Oakland,CA,22
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-001675,THEFT,30Y,2600 76TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-002920,THEFT,20X,23RD AV & INTERNATIONAL BLVD,Oakland,CA,0
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-001811,THEFT,"06X",WEST ST & 30TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-001535,THEFT,33X,1000 87TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-002246,THEFT,28X,4400 FLEMING AV,Oakland,CA,0
PETTY THEFT,2025 Jan 09 12:00:00 AM,25-001673,THEFT,"09X",200 W MACARTHUR BLVD,Oakland,CA,0
ROBBERY,2025 Jan 09 01:45:00 AM,25-001387,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32X,9900 C ST,Oakland,CA,1
PETTY THEFT,2025 Jan 09 03:20:00 AM,25-900987,THEFT,"02Y",900 WILLOW ST,Oakland,CA,3
ROBBERY,2025 Jan 09 03:30:00 AM,25-001394,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","05X",2200 SAN PABLO AV,Oakland,CA,3
GRAND THEFT,2025 Jan 09 04:00:00 AM,25-900369,GRAND THEFT,"05X",900 16TH ST,Oakland,CA,4
GRAND THEFT,2025 Jan 09 04:05:00 AM,25-900373,GRAND THEFT,"04X",1600 ST,Oakland,CA,4
GRAND THEFT,2025 Jan 09 07:00:00 AM,25-902855,GRAND THEFT,31Y,500 HEGENBERGER RD,Oakland,CA,7
PETTY THEFT,2025 Jan 09 07:00:00 AM,25-900338,THEFT,17Y,3300 PARK BLVD,Oakland,CA,7
PETTY THEFT,2025 Jan 09 07:30:00 AM,25-001436,THEFT,"07X",3000 FILBERT ST,Oakland,CA,7
PETTY THEFT,2025 Jan 09 08:00:00 AM,25-002628,THEFT,"07X",3200 HOLLIS ST,Oakland,CA,8
PETTY THEFT,2025 Jan 09 08:30:00 AM,25-001774,THEFT,27Y,6000 FORTUNE WY,Oakland,CA,8
PETTY THEFT,2025 Jan 09 08:32:00 AM,24-001407,THEFT,"09X",5100 BROADWAY,Oakland,CA,8
GRAND THEFT,2025 Jan 09 08:40:00 AM,25-900370,GRAND THEFT,22X,1900 CLEMENS RD,Oakland,CA,8
GRAND THEFT,2025 Jan 09 09:30:00 AM,25-001455,GRAND THEFT:AUTO,"08X",2400 NORTHGATE AV,Oakland,CA,9
ROBBERY,2025 Jan 09 09:35:00 AM,25-002913,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X",3200 TELEGRAPH AV,Oakland,CA,9
ROBBERY,2025 Jan 09 09:35:00 AM,25-002913,BURGLARY-AUTO,"08X",3200 TELEGRAPH AV,Oakland,CA,9
GRAND THEFT,2025 Jan 09 10:00:00 AM,25-901388,GRAND THEFT,22Y,3000 KANSAS ST,Oakland,CA,10
ROBBERY,2025 Jan 09 10:30:00 AM,25-002409,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","09X",3600 BROADWAY,Oakland,CA,10
ROBBERY,2025 Jan 09 10:30:00 AM,25-002409,CRUELTY TO ELDER/DEPENDANT ADULT:GBI/DEATH LIKELY,"09X",3600 BROADWAY,Oakland,CA,10
PETTY THEFT,2025 Jan 09 10:35:00 AM,25-001433,THEFT,"02Y",10TH ST & WOOD ST,Oakland,CA,10
ROBBERY,2025 Jan 09 11:00:00 AM,25-001443,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,3200 FOOTHILL BLVD,Oakland,CA,11
GRAND THEFT,2025 Jan 09 11:00:00 AM,25-001494,GRAND THEFT FROM PERSON,18X,1900 16TH AV,Oakland,CA,11
ROBBERY,2025 Jan 09 11:00:00 AM,25-001443,THEFT,21Y,3200 FOOTHILL BLVD,Oakland,CA,11
PETTY THEFT,2025 Jan 09 11:26:00 AM,25-001452,THEFT,26Y,7300 SAN LEANDRO ST,Oakland,CA,11
PETTY THEFT,2025 Jan 09 12:00:00 PM,25-001504,THEFT,17Y,1300 E 24TH ST,Oakland,CA,12
PETTY THEFT,2025 Jan 09 12:30:00 PM,25-904709,MAIL/ETC THEFT/ETC,31Z,10800 ESTEPA DR,Oakland,CA,12
PETTY THEFT,2025 Jan 09 12:33:00 PM,25-001451,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,21Y,3200 FOOTHILL BLVD,Oakland,CA,12
PETTY THEFT,2025 Jan 09 01:27:00 PM,25-904194,THEFT,25X,4300 TOMPKINS AV,Oakland,CA,13
PETTY THEFT,2025 Jan 09 02:10:00 PM,25-900984,THEFT,15X,300 WAYNE PL,Oakland,CA,14
GRAND THEFT,2025 Jan 09 04:15:00 PM,25-908269,GRAND THEFT,"02X",800 ADELINE ST,Oakland,CA,16
PETTY THEFT,2025 Jan 09 05:00:00 PM,25-001668,THEFT,24X,2100 38TH AV,Oakland,CA,17
PETTY THEFT,2025 Jan 09 05:30:00 PM,25-002125,THEFT,25X,4400 REINHARDT DR,Oakland,CA,17
PETTY THEFT,2025 Jan 09 07:00:00 PM,25-013812,THEFT,13X,5400 BROADWAY,Oakland,CA,19
PETTY THEFT,2025 Jan 09 08:00:00 PM,25-001718,THEFT,16Y,1200 EXCELSIOR AV,Oakland,CA,20
PETTY THEFT,2025 Jan 10 12:00:00 AM,25-001781,THEFT,35X,9100 CASTLEWOOD ST,Oakland,CA,0
PETTY THEFT,2025 Jan 10 12:00:00 AM,25-010276,THEFT,20X,1200 26TH AV,Oakland,CA,0
GRAND THEFT,2025 Jan 10 12:55:00 AM,25-901157,GRAND THEFT,77X,1300 ST,Oakland,CA,0
GRAND THEFT,2025 Jan 10 02:52:00 AM,25-900418,GRAND THEFT,17X,1900 13TH AV,Oakland,CA,2
ROBBERY,2025 Jan 10 03:11:00 AM,25-001538,CARJACKING - STRONGARM,"04X",2000 BROADWAY,Oakland,CA,3
ROBBERY,2025 Jan 10 03:50:00 AM,25-001545,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",24X,4200 FOOTHILL BLVD,Oakland,CA,3
ROBBERY,2025 Jan 10 03:50:00 AM,25-001545,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,24X,4200 FOOTHILL BLVD,Oakland,CA,3
ROBBERY,2025 Jan 10 03:50:00 AM,25-001545,MALICIOUSLY DESTROY OTHER'S PROPERTY,24X,4200 FOOTHILL BLVD,Oakland,CA,3
ROBBERY,2025 Jan 10 04:20:00 AM,25-001546,ATTEMPTED BURGLARY,"02X",600 MARKET ST,Oakland,CA,4
ROBBERY,2025 Jan 10 04:20:00 AM,25-001546,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,"02X",600 MARKET ST,Oakland,CA,4
ROBBERY,2025 Jan 10 04:25:00 AM,25-001547,CARJACKING WITH FIREARM,"02X",800 MARKET ST,Oakland,CA,4
GRAND THEFT,2025 Jan 10 07:00:00 AM,25-904940,GRAND THEFT,"05Y",1600 W GRAND AV,Oakland,CA,7
PETTY THEFT,2025 Jan 10 08:10:00 AM,25-913220,THEFT,77X,BARTLETT ST,Oakland,CA,8
GRAND THEFT,2025 Jan 10 09:50:00 AM,25-904763,GRAND THEFT,25X,4000 QUIGLEY ST,Oakland,CA,9
PETTY THEFT,2025 Jan 10 09:58:00 AM,25-001615,THEFT,"08X",400 38TH ST,Oakland,CA,9
PETTY THEFT,2025 Jan 10 10:00:00 AM,25-013682,THEFT,17Y,2200 7TH AV,Oakland,CA,10
GRAND THEFT,2025 Jan 10 10:00:00 AM,25-001815,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"04X",1800 HARRISON ST,Oakland,CA,10
PETTY THEFT,2025 Jan 10 11:04:00 AM,25-904776,THEFT,25X,3900 HIGH ST,Oakland,CA,11
PETTY THEFT,2025 Jan 10 11:23:00 AM,25-001733,THEFT:MISREPRESENT AS ACCESS CARD HOLDER [OVER $400],27Y,5200 WENTWORTH AV,Oakland,CA,11
PETTY THEFT,2025 Jan 10 11:23:00 AM,25-001733,ELDER ABUSE BY THEFT OR EMBEZZLEMENT,27Y,5200 WENTWORTH AV,Oakland,CA,11
PETTY THEFT,2025 Jan 10 12:59:00 PM,25-001651,THEFT,"02Y",1700 10TH ST,Oakland,CA,12
PETTY THEFT,2025 Jan 10 01:30:00 PM,25-904778,THEFT,"08X",500 25TH ST,Oakland,CA,13
PETTY THEFT,2025 Jan 10 01:38:00 PM,25-001664,THEFT,32Y,1900 104TH AV,Oakland,CA,13
PETTY THEFT,2025 Jan 10 02:00:00 PM,25-001783,THEFT,"03X",WEBSTER ST & 12TH ST,Oakland,CA,14
PETTY THEFT,2025 Jan 10 02:00:00 PM,25-001709,THEFT,14Y,500 WICKSON AV,Oakland,CA,14
GRAND THEFT,2025 Jan 10 02:00:00 PM,25-001708,SC GRAND THEFT,24X,3500 GALINDO ST,Oakland,CA,14
GRAND THEFT,2025 Jan 10 02:14:00 PM,25-001660,GRAND THEFT:AUTO,19X,1900 E 15TH ST,Oakland,CA,14
PETTY THEFT,2025 Jan 10 02:30:00 PM,25-002777,THEFT,23X,1900 FRUITVALE AV,Oakland,CA,14
PETTY THEFT,2025 Jan 10 03:00:00 PM,25-001949,THEFT,"08X",2300 NORTHGATE AV,Oakland,CA,15
PETTY THEFT,2025 Jan 10 04:27:00 PM,25-900985,THEFT,14Y,3200 LAKESHORE AV,Oakland,CA,16
GRAND THEFT,2025 Jan 10 05:00:00 PM,25-900461,GRAND THEFT,26X,6400 SAN LEANDRO ST,Oakland,CA,17
GRAND THEFT,2025 Jan 10 05:00:00 PM,25-002455,THEFT,22Y,3000 DELAWARE ST,Oakland,CA,17
PETTY THEFT,2025 Jan 10 06:00:00 PM,25-002203,THEFT,"02Y",1700 12TH ST,Oakland,CA,18
PETTY THEFT,2025 Jan 10 07:00:00 PM,25-001704,THEFT,"04X",21ST ST & SAN PABLO AV,Oakland,CA,19
PETTY THEFT,2025 Jan 10 10:00:00 PM,25-900463,THEFT,13X,5300 BROADWAY,Oakland,CA,22
PETTY THEFT,2025 Jan 10 10:00:00 PM,25-001805,THEFT,77X,500 DOVER ST,Oakland,CA,22
GRAND THEFT,2025 Jan 10 10:13:00 PM,25-901122,GRAND THEFT,"04X",1800 TELEGRAPH AV,Oakland,CA,22
GRAND THEFT,2025 Jan 10 11:59:00 PM,25-900470,GRAND THEFT,"01X","00 HARRISON ST",Oakland,CA,23
GRAND THEFT,2025 Jan 11 12:00:00 AM,25-905245,GRAND THEFT,"02X",400 CASTRO ST,Oakland,CA,0
GRAND THEFT,2025 Jan 11 12:00:00 AM,25-900462,GRAND THEFT,26X,6400 SAN LEANDRO ST,Oakland,CA,0
PETTY THEFT,2025 Jan 11 12:00:00 AM,25-001764,THEFT,26Y,800 71ST AV,Oakland,CA,0
PETTY THEFT,2025 Jan 11 12:00:00 AM,25-004821,THEFT,15X,500 MERRITT AV,Oakland,CA,0
PETTY THEFT,2025 Jan 11 12:00:00 AM,25-001906,THEFT,12X,300 49TH ST,Oakland,CA,0
ROBBERY,2025 Jan 11 01:00:00 AM,25-001983,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,15X,1800 LAKESHORE AV,Oakland,CA,1
ROBBERY,2025 Jan 11 01:00:00 AM,25-001983,EXHIBIT FIREARM,15X,1800 LAKESHORE AV,Oakland,CA,1
ROBBERY,2025 Jan 11 01:00:00 AM,25-001983,ROBBERY/INHABITED DWELLING - FIREARM,15X,1800 LAKESHORE AV,Oakland,CA,1
GRAND THEFT,2025 Jan 11 02:00:00 AM,25-904773,GRAND THEFT,"07X",2800 HANNAH ST,Oakland,CA,2
ROBBERY,2025 Jan 11 02:45:00 AM,25-001750,SC CARJACKING - OTHER DANGEROUS WEAPON,26Y,73RD AV & INTERNATIONAL BLVD,Oakland,CA,2
ROBBERY,2025 Jan 11 02:45:00 AM,25-001750,SC ADW - FIREARM,26Y,73RD AV & INTERNATIONAL BLVD,Oakland,CA,2
GRAND THEFT,2025 Jan 11 02:55:00 AM,25-900460,GRAND THEFT,24X,4100 MERA ST,Oakland,CA,2
PETTY THEFT,2025 Jan 11 09:00:00 AM,25-001793,THEFT,32Y,2300 99TH AV,Oakland,CA,9
ROBBERY,2025 Jan 11 10:00:00 AM,25-001784,BATTERY W/SERIOUS BODILY INJURY,32X,10500 SAN LEANDRO ST,Oakland,CA,10
ROBBERY,2025 Jan 11 10:00:00 AM,25-001784,ROBBERY-FIREARM,32X,10500 SAN LEANDRO ST,Oakland,CA,10
PETTY THEFT,2025 Jan 11 10:00:00 AM,25-001962,THEFT,32X,1100 102ND AV,Oakland,CA,10
GRAND THEFT,2025 Jan 11 10:10:00 AM,25-904336,GRAND THEFT,35Y,4400 KELLER AV,Oakland,CA,10
GRAND THEFT,2025 Jan 11 10:51:00 AM,25-001785,VANDALISM,23X,1800 BRIDGE AV,Oakland,CA,10
GRAND THEFT,2025 Jan 11 10:51:00 AM,25-001785,GRAND THEFT,23X,1800 BRIDGE AV,Oakland,CA,10
PETTY THEFT,2025 Jan 11 11:00:00 AM,25-904781,THEFT,15X,800 MCKINLEY AV,Oakland,CA,11
PETTY THEFT,2025 Jan 11 12:00:00 PM,25-001838,THEFT,22X,2500 MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 11 12:12:00 PM,25-001803,ROBBERY-OTHER DANGEROUS WEAPON,"08X",400 W MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 11 12:12:00 PM,25-001803,ACCESSORY,"08X",400 W MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 11 12:12:00 PM,25-001803,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,"08X",400 W MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 11 12:15:00 PM,25-001791,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,800 INTERNATIONAL BLVD,Oakland,CA,12
PETTY THEFT,2025 Jan 11 12:15:00 PM,25-002079,THEFT,"03Y",1300 CLAY ST,Oakland,CA,12
GRAND THEFT,2025 Jan 11 12:30:00 PM,25-900547,GRAND THEFT,"02Y",1400 12TH ST,Oakland,CA,12
GRAND THEFT,2025 Jan 11 01:00:00 PM,25-903788,GRAND THEFT,30X,1600 67TH AV,Oakland,CA,13
GRAND THEFT,2025 Jan 11 01:10:00 PM,25-904180,GRAND THEFT,"04X",400 17TH ST,Oakland,CA,13
GRAND THEFT,2025 Jan 11 02:45:00 PM,25-900468,THEFT,17X,500 E 20TH ST,Oakland,CA,14
GRAND THEFT,2025 Jan 11 03:00:00 PM,25-904792,GRAND THEFT,35X,3500 CALANDRIA AV,Oakland,CA,15
PETTY THEFT,2025 Jan 11 03:40:00 PM,25-903284,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,15
PETTY THEFT,2025 Jan 11 04:00:00 PM,25-002104,THEFT,19X,300 8TH AV,Oakland,CA,16
PETTY THEFT,2025 Jan 11 04:00:00 PM,25-001824,THEFT,16X,3200 LAKESHORE AV,Oakland,CA,16
ROBBERY,2025 Jan 11 04:06:00 PM,25-001822,ROBBERY-FIREARM,23X,1200 42ND AV,Oakland,CA,16
PETTY THEFT,2025 Jan 11 04:15:00 PM,25-903285,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,16
GRAND THEFT,2025 Jan 11 04:35:00 PM,25-900476,GRAND THEFT,"02Y",1700 12TH ST,Oakland,CA,16
PETTY THEFT,2025 Jan 11 05:00:00 PM,25-001966,THEFT,31Z,100 KERWIN AV,Oakland,CA,17
ROBBERY,2025 Jan 11 05:40:00 PM,25-001831,CARJACKING - STRONGARM,31Y,9700 EDES AV,Oakland,CA,17
PETTY THEFT,2025 Jan 11 05:53:00 PM,25-913279,THEFT,12Y,5100 TELEGRAPH AV,Oakland,CA,17
PETTY THEFT,2025 Jan 11 06:00:00 PM,25-002119,THEFT,26Y,1200 64TH AV,Oakland,CA,18
PETTY THEFT,2025 Jan 11 06:00:00 PM,25-010804,THEFT,"03Y",600 10TH ST,Oakland,CA,18
GRAND THEFT,2025 Jan 11 08:00:00 PM,25-901833,GRAND THEFT,"01X","00 HARRISON ST",Oakland,CA,20
ROBBERY,2025 Jan 11 08:55:00 PM,25-001855,ROBBERY-FIREARM,30X,1800 CHURCH ST,Oakland,CA,20
ROBBERY,2025 Jan 11 09:40:00 PM,25-001867,ROBBERY-FIREARM,24X,4200 FOOTHILL BLVD,Oakland,CA,21
ROBBERY,2025 Jan 11 11:10:00 PM,25-001870,BATTERY,17X,700 E 17TH ST,Oakland,CA,23
ROBBERY,2025 Jan 11 11:10:00 PM,25-001870,CARJACKING WITH KNIFE,17X,700 E 17TH ST,Oakland,CA,23
PETTY THEFT,2025 Jan 12 12:00:00 AM,25-001915,THEFT,14X,200 LENOX AV,Oakland,CA,0
PETTY THEFT,2025 Jan 12 12:00:00 AM,25-002105,THEFT,26X,1200 44TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 12 12:00:00 AM,25-002239,THEFT,21Y,2700 HAROLD ST,Oakland,CA,0
PETTY THEFT,2025 Jan 12 12:00:00 AM,25-001935,THEFT,21Y,3100 COOLIDGE AV,Oakland,CA,0
PETTY THEFT,2025 Jan 12 03:00:00 AM,25-002394,PETTY THEFT:$50-,16Y,3600 KINGSLEY ST,Oakland,CA,3
PETTY THEFT,2025 Jan 12 04:30:00 AM,25-900670,THEFT,14X,200 PERKINS ST,Oakland,CA,4
GRAND THEFT,2025 Jan 12 05:05:00 AM,25-904013,GRAND THEFT,12Y,5800 AYALA AV,Oakland,CA,5
PETTY THEFT,2025 Jan 12 08:00:00 AM,25-002232,THEFT,32Y,2800 99TH AV,Oakland,CA,8
GRAND THEFT,2025 Jan 12 09:40:00 AM,25-900469,GRAND THEFT,10X,5600 LOWELL ST,Oakland,CA,9
ROBBERY,2025 Jan 12 10:48:00 AM,25-001918,ROBBERY-FIREARM,21Y,2000 FRUITVALE AV,Oakland,CA,10
PETTY THEFT,2025 Jan 12 11:00:00 AM,25-904921,THEFT,27X,2400 MONTICELLO AV,Oakland,CA,11
PETTY THEFT,2025 Jan 12 12:00:00 PM,25-002108,THEFT,12X,WEBSTER ST & 48TH ST,Oakland,CA,12
GRAND THEFT,2025 Jan 12 12:43:00 PM,25-001931,GRAND THEFT:AUTO,30X,2700 HAVENSCOURT BLVD,Oakland,CA,12
GRAND THEFT,2025 Jan 12 12:43:00 PM,25-001931,OBSTRUCT/RESIST EXECUTIVE OFFICER-MISD,30X,2700 HAVENSCOURT BLVD,Oakland,CA,12
GRAND THEFT,2025 Jan 12 12:43:00 PM,25-001931,POSS STOLEN VEH/VES/ETC,30X,2700 HAVENSCOURT BLVD,Oakland,CA,12
GRAND THEFT,2025 Jan 12 01:57:00 PM,25-001943,GRAND THEFT,16Y,4200 PARK BLVD,Oakland,CA,13
PETTY THEFT,2025 Jan 12 02:10:00 PM,25-903286,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,14
PETTY THEFT,2025 Jan 12 02:31:00 PM,25-002064,THEFT,30X,1500 78TH AV,Oakland,CA,14
PETTY THEFT,2025 Jan 12 04:00:00 PM,25-002053,THEFT,"07X",800 MILTON ST,Oakland,CA,16
GRAND THEFT,2025 Jan 12 04:20:00 PM,25-904920,GRAND THEFT,14X,500 BELLEVUE AV,Oakland,CA,16
GRAND THEFT,2025 Jan 12 04:30:00 PM,25-900681,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,16
ROBBERY,2025 Jan 12 06:00:00 PM,25-001956,ROBBERY-KNIFE OR CUTTING INSTRUMENT,18X,1700 E 19TH ST,Oakland,CA,18
ROBBERY,2025 Jan 12 06:00:00 PM,25-001956,ROBBERY-FIREARM,18X,1700 E 19TH ST,Oakland,CA,18
ROBBERY,2025 Jan 12 07:33:00 PM,25-001978,ROBBERY-KNIFE OR CUTTING INSTRUMENT,32Y,2200 109TH AV,Oakland,CA,19
PETTY THEFT,2025 Jan 12 09:03:00 PM,25-002258,THEFT,"06X",900 35TH ST,Oakland,CA,21
GRAND THEFT,2025 Jan 12 10:00:00 PM,25-002354,THEFT,19X,1300 22ND AV,Oakland,CA,22
PETTY THEFT,2025 Jan 12 10:00:00 PM,25-002039,THEFT,"09X",200 W MACARTHUR BLVD,Oakland,CA,22
GRAND THEFT,2025 Jan 13 12:00:00 AM,25-908270,GRAND THEFT,16Y,3700 WOODRUFF AV,Oakland,CA,0
GRAND THEFT,2025 Jan 13 12:00:00 AM,25-005854,GRAND THEFT,"03X",1100 OAK ST,Oakland,CA,0
PETTY THEFT,2025 Jan 13 12:48:00 AM,25-900553,THEFT,16X,900 UNDERHILLS RD,Oakland,CA,0
GRAND THEFT,2025 Jan 13 02:00:00 AM,25-900552,GRAND THEFT,15X,300 HADDON RD,Oakland,CA,2
ROBBERY,2025 Jan 13 02:33:00 AM,25-002007,VEHICLE THEFT - AUTO,18Y,1800 E 25TH ST,Oakland,CA,2
ROBBERY,2025 Jan 13 02:33:00 AM,25-002007,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,18Y,1800 E 25TH ST,Oakland,CA,2
ROBBERY,2025 Jan 13 02:33:00 AM,25-002007,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",18Y,1800 E 25TH ST,Oakland,CA,2
ROBBERY,2025 Jan 13 02:51:00 AM,25-002009,ROBBERY-FIREARM,13Y,5700 THORNHILL DR,Oakland,CA,2
PETTY THEFT,2025 Jan 13 03:33:00 AM,25-002065,THEFT,27X,5300 TRASK ST,Oakland,CA,3
PETTY THEFT,2025 Jan 13 03:33:00 AM,25-002065,TRESPASSING,27X,5300 TRASK ST,Oakland,CA,3
ROBBERY,2025 Jan 13 03:48:00 AM,25-002011,VANDALISM,10Y,5500 MARTIN LUTHER KING JR WY,Oakland,CA,3
ROBBERY,2025 Jan 13 03:48:00 AM,25-002011,ROBBERY-FIREARM,10Y,5500 MARTIN LUTHER KING JR WY,Oakland,CA,3
ROBBERY,2025 Jan 13 03:51:00 AM,25-002013,ROBBERY-FIREARM,10Y,5400 MARTIN LUTHER KING JR WY,Oakland,CA,3
